,index,year_round,lat_round2,lon_round2,depth,D14C,associated_lat,associated_lon,ECCO_value
35,992,1955,17.78,291.63,0.0,-51.0,17.333242416381836,290.9427185058594,-42.980194091796875
36,993,1955,19.07,279.2,0.0,-57.0,19.387237548828125,280.1794738769531,-42.71257019042969
37,994,1955,19.12,292.88,0.0,-46.0,19.2415771484375,294.5538635253906,-41.688682556152344
38,996,1955,20.53,291.5,0.0,-44.0,21.378204345703125,290.985595703125,-40.2425537109375
39,997,1955,25.42,284.78,0.0,-45.0,26.124292373657227,283.9032287597656,-40.67713165283203
40,998,1955,27.08,286.47,0.0,-55.0,26.04937744140625,287.48541259765625,-38.478492736816406
41,999,1955,34.1,294.9,0.0,-56.0,33.07000732421875,294.8597717285156,-39.957881927490234
42,1000,1955,36.1,293.9,0.0,-52.0,35.34504699707031,294.9645690917969,-41.6950569152832
43,1001,1955,37.97,309.12,0.0,-34.0,37.10285568237305,309.1761169433594,-44.483184814453125
44,1002,1955,38.37,288.47,0.0,-62.0,37.829811096191406,288.041015625,-44.780967712402344
45,1003,1956,-24.0,153.0,0.0,-51.8,-24.17027473449707,154.10000610351562,-48.14731979370117
46,1005,1956,-21.23,200.18,18.0,-53.36363636,-21.80089569091797,200.89999389648438,-45.223175048828125
47,1006,1956,-17.82,329.27,0.0,-56.0,-17.619958877563477,330.5,-43.06816864013672
48,1008,1956,-9.53,160.2,0.0,-43.65,-9.09841251373291,161.3000030517578,-53.811668395996094
49,1009,1956,-9.0,160.0,14.0,-58.5,-9.09841251373291,161.3000030517578,-53.811668395996094
50,1011,1956,-3.57,328.63,0.0,-61.0,-3.4043185710906982,326.8999938964844,-46.7177619934082
51,1013,1956,-3.1,327.57,0.0,-55.0,-3.4043185710906982,326.8999938964844,-46.7177619934082
52,1014,1956,-0.5,166.0,14.0,-54.11111111,-0.3001483976840973,164.89999389648438,-52.966835021972656
53,1015,1956,-0.5,270.0,1.0,-76.0,-0.3001483976840973,269.29998779296875,-64.88162231445312
54,1017,1956,31.75,325.37,0.0,-65.0,32.69342041015625,326.82708740234375,-39.13003158569336
55,1018,1956,32.63,302.08,0.0,-44.0,32.890464782714844,301.965576171875,-38.49720764160156
56,1019,1956,33.0,310.2,0.0,-58.0,32.76423645019531,309.0697326660156,-39.130985260009766
57,1020,1956,33.83,293.7,0.0,-59.0,33.07000732421875,294.8597717285156,-38.120033264160156
58,1021,1956,34.07,26.35,0.0,-63.0,34.83918762207031,27.29487419128418,-33.230064392089844
59,1022,1956,38.1,22.9,0.0,-99.0,37.1812744140625,23.490161895751953,-37.46622848510742
60,1023,1957,-46.5,244.0,0.0,-40.5,-45.69465255737305,244.10000610351562,-53.768394470214844
